10	7.17	0.60392	0.39014
 2419.22     195	35,52,10,32,1,18,30,55,47,16,26,38,19,31,53,36,44,56,14,4,7,39,9,20,34,48,57,28,43,50,17,27,3,46,23,58,54,12,59,41,5,13,33,42,22,49,2,6,15,24,11,51,60,37,45,40,21,8,29,25	0,13,5,4,7,5,3,12,7,1,2,18,2,5,9,7,10,0,17,11,12,9,2,5,17,0,9,2,15,0,20,0,11,6,0,2,17,2,8,1,22,0,11,1,10,19,1,6,15,11,0,0,2,2,0,11,1,4,13,19
 1920.51       6	32,10,1,35,52,30,18,17,51,54,24,28,60,12,8,3,14,42,34,23,44,38,21,57,41,9,40,25,46,56,49,19,27,26,6,33,58,43,13,5,7,48,39,20,36,55,29,53,15,11,47,16,31,4,37,50,2,45,22,59	0,13,5,4,7,14,10,19,4,0,15,1,8,0,10,18,5,14,3,11,18,9,15,3,7,0,0,1,5,0,0,0,18,6,0,7,4,3,15,2,5,20,5,22,10,22,10,3,15,19,0,0,2,4,1,11,11,10,14,16
 1953.31      66	32,10,1,35,20,30,55,47,52,16,26,38,19,31,53,36,44,56,14,4,7,39,59,12,54,17,51,24,28,60,8,3,42,25,6,15,48,37,27,43,9,40,21,45,18,29,34,11,41,50,5,13,49,23,33,58,46,57,2,22	0,19,5,4,6,0,10,12,13,0,15,4,7,5,7,4,5,1,18,1,18,9,6,5,7,0,10,6,5,0,16,0,2,0,0,15,4,7,5,2,22,6,5,2,6,15,2,15,15,3,0,10,4,4,1,11,1,14,13,16
 2136.82      71	32,10,1,35,18,30,55,47,52,14,9,46,3,23,17,54,12,29,8,44,21,5,13,15,49,26,38,19,28,40,7,53,4,39,51,34,25,56,16,33,20,45,60,42,59,36,48,24,37,27,57,41,6,58,43,11,50,31,2,22	0,19,5,3,7,14,16,2,2,0,15,18,20,7,15,18,2,0,3,2,17,15,6,0,19,14,1,2,5,0,16,0,20,6,0,17,3,6,15,1,5,0,5,1,22,2,2,3,2,1,2,0,19,17,0,17,1,10,10,19
 2417.36     155	32,35,52,10,1,18,30,55,47,16,26,38,19,31,53,36,44,56,14,4,7,39,9,20,34,48,57,28,43,50,17,27,3,46,23,58,54,12,59,41,5,13,33,42,22,49,2,6,15,24,11,51,60,37,45,40,21,8,29,25	0,13,5,4,7,5,16,7,7,1,11,18,2,5,17,4,12,0,0,11,12,9,16,5,12,0,1,2,15,0,20,0,11,0,0,15,8,2,11,1,22,19,11,1,22,2,1,6,14,11,0,0,2,17,0,11,1,4,13,19
 2423.63     199	35,52,10,32,1,18,30,55,47,14,8,12,9,28,40,7,17,51,54,24,60,3,42,34,23,44,38,21,53,2,37,13,27,16,57,58,41,50,15,26,11,20,45,29,4,56,22,6,31,36,59,33,39,19,46,49,5,43,48,25	0,13,14,4,3,11,3,19,4,0,15,18,8,0,9,8,5,0,4,11,3,11,2,3,17,15,4,15,1,0,20,0,18,0,0,7,4,3,11,1,15,12,5,7,17,3,2,1,15,19,0,0,2,4,1,11,11,10,13,16
 1826.53       0	32,35,1,10,30,55,47,52,16,26,38,19,31,18,17,51,34,25,46,56,49,27,6,33,58,43,13,14,41,24,39,48,7,5,9,28,37,40,53,4,23,12,8,45,21,50,54,29,20,60,42,11,57,44,3,15,36,2,22,59	0,16,5,4,7,0,16,12,10,0,11,0,8,2,17,4,12,1,0,2,17,18,16,16,1,0,10,2,5,0,14,0,20,15,0,15,16,2,5,1,12,0,10,2,22,15,2,6,14,5,0,2,2,3,1,13,6,4,13,16
  2137.1      81	32,10,1,35,18,30,55,47,52,16,26,38,19,31,53,36,44,56,14,4,7,39,9,20,34,48,57,28,43,50,17,27,3,46,23,58,54,12,59,41,5,13,33,42,22,49,2,6,15,24,11,51,60,37,45,40,21,8,29,25	0,13,5,4,7,5,16,7,7,0,3,1,2,5,17,4,22,0,0,11,17,14,16,5,0,0,1,2,5,0,16,0,15,6,0,15,8,2,1,1,15,19,11,22,5,2,1,6,14,14,0,15,9,17,1,11,1,4,13,19
 1978.61      68	32,10,35,1,18,30,55,47,52,16,26,38,19,31,53,36,44,56,14,4,7,39,9,20,34,11,57,28,43,50,58,27,3,46,23,17,54,12,59,41,5,13,33,42,22,49,15,51,37,25,21,24,60,8,40,6,48,29,45,2	0,16,5,3,7,7,16,11,10,0,2,1,8,2,18,18,5,0,3,11,18,11,2,5,7,9,10,11,1,1,10,0,18,15,0,17,6,14,11,2,17,0,11,20,22,15,10,17,14,14,0,15,8,5,1,11,11,7,13,16
 2303.11     135	32,35,1,10,47,52,14,30,18,8,12,43,55,48,7,42,5,13,15,45,4,22,6,46,49,11,20,25,29,56,54,24,60,3,17,58,57,16,39,21,37,2,53,40,28,9,51,34,26,38,19,31,36,44,41,50,23,27,33,59	0,5,5,4,7,5,14,19,4,0,12,1,20,0,10,18,11,1,0,2,3,2,0,0,7,20,6,15,1,0,20,0,17,0,0,15,17,11,11,1,0,0,5,2,0,2,0,15,15,19,0,2,0,15,2,11,11,10,14,16
