13	30.8
 3766.96      27	28,9,18,27,21,25,5,12,7,16,24,23,13,6,14,20,29,3,10,30,22,11,17,1,4,15,19,26,2,8	1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
 3765.82      20	28,9,18,27,21,25,5,12,7,23,24,16,13,6,14,20,29,3,10,30,22,11,17,1,4,15,19,26,2,8	1,2,2,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
 3764.07      17	28,9,18,27,21,25,12,7,5,23,24,16,13,11,8,30,4,26,19,22,14,3,29,1,10,2,20,6,17,15	1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  3766.8      25	28,9,5,18,25,21,27,12,7,23,24,16,1,29,3,10,2,20,4,30,8,11,13,14,22,19,26,6,17,15	1,2,1,0,0,0,0,1,0,0,0,0,1,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
 3763.17      13	28,9,18,27,21,25,12,23,5,7,24,16,13,11,8,30,4,14,22,6,1,19,26,2,20,29,3,10,17,15	1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3768.66      30	28,9,5,25,21,27,18,12,7,23,24,16,13,11,8,30,4,20,2,10,3,29,6,14,22,17,1,15,19,26	1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
  3769.8      37	28,9,5,25,21,27,18,12,7,16,24,23,10,30,22,13,3,29,20,14,6,11,17,1,4,15,19,26,2,8	1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
 3753.02       3	28,9,18,27,21,25,12,7,5,4,16,24,15,26,20,2,10,23,19,6,29,3,30,14,22,1,13,17,11,8	1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 3752.94       1	28,9,18,7,23,21,25,12,27,5,24,16,6,13,15,4,1,30,11,22,17,10,3,29,20,14,19,26,2,8	1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
 3757.61       4	28,9,18,25,21,23,7,12,27,5,24,16,13,11,20,4,1,14,17,8,2,6,15,10,3,30,19,22,29,26	1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3750.69       0	28,9,18,7,21,25,27,12,5,4,16,24,15,26,20,2,10,23,19,17,13,1,3,30,14,22,29,6,11,8	1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 3767.28      28	28,9,5,25,21,27,23,12,18,7,24,16,13,11,8,30,4,20,2,10,3,29,14,1,6,15,19,22,26,17	1,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 3759.92       6	28,9,18,23,21,25,12,27,5,7,24,16,13,11,8,30,4,14,22,20,2,10,3,29,6,1,19,26,17,15	1,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
