19	27.13
 2581.55       2	3,30,4,14,12,23,8,6,17,13,19,22,15,26,24,16,5,7,27,2,18,11,28,21,1,25,10,20,29,9	0,2,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0
 2587.85       6	3,12,14,4,6,23,30,8,17,13,19,22,15,26,24,16,5,7,27,28,20,11,21,10,1,2,25,18,29,9	0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
 2587.02       4	3,12,14,4,30,23,6,8,17,24,20,21,10,15,27,1,2,25,11,18,16,26,19,13,5,7,28,22,29,9	0,2,0,0,0,0,2,0,1,1,0,0,1,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
  3089.8      51	3,12,14,4,30,23,13,5,8,6,19,26,16,18,11,25,2,1,24,20,7,28,27,15,22,17,21,10,29,9	0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
 2215.56       0	3,12,14,4,6,23,8,17,16,26,30,13,19,18,28,29,22,21,10,15,27,1,2,25,11,7,24,5,20,9	0,2,0,0,0,0,2,0,1,0,2,0,1,0,0,3,0,1,1,0,0,0,0,0,1,0,1,1,0,0
 2624.95       8	3,12,14,4,30,19,6,8,17,25,11,18,16,26,23,13,5,24,20,29,28,22,7,2,1,27,15,10,21,9	0,2,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 2675.92      11	3,12,14,4,30,19,23,8,6,17,13,16,2,21,25,10,7,11,24,26,15,22,20,18,5,1,29,27,9,28	0,3,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
 2748.07      12	3,30,26,14,12,4,23,8,6,16,18,11,28,15,21,5,7,2,13,17,10,22,20,24,25,27,1,19,29,9	0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,3,1,0,1,0,0,0,0,0,0,3,0,0,0
 3089.63      49	3,12,14,4,13,23,30,5,8,6,19,26,16,18,20,24,17,22,28,29,21,10,1,2,25,11,27,7,15,9	0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0
 2752.25      18	3,30,26,14,12,4,6,23,8,1,2,25,10,7,22,5,24,9,13,19,16,18,20,17,28,11,27,15,21,29	0,3,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0
  2823.9      35	3,12,14,4,30,19,5,8,6,23,1,2,25,11,18,16,26,13,24,20,7,29,22,28,17,10,21,15,27,9	0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0
 2862.43      36	3,30,26,14,12,4,5,8,6,28,19,1,27,23,11,17,13,16,18,25,2,15,10,21,20,24,7,22,29,9	0,3,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
 2890.05      41	3,12,14,4,27,23,30,5,8,6,19,13,1,2,25,11,28,22,17,24,20,26,18,16,7,10,15,21,29,9	0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
 3092.62      52	3,12,14,4,30,5,13,23,8,6,19,26,16,18,11,25,2,1,24,20,7,28,27,15,22,17,21,10,29,9	0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,1,0
  2673.6       9	3,30,12,14,4,23,19,8,6,17,13,18,20,22,15,26,24,11,7,10,25,21,2,16,5,1,29,27,9,28	0,2,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
 2811.52      31	3,5,19,30,4,14,12,8,6,23,1,2,25,11,18,16,26,13,24,20,28,22,27,15,10,17,7,21,29,9	0,2,0,0,0,0,2,0,0,0,1,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
 2890.69      47	3,12,14,4,30,23,27,5,8,6,19,13,17,22,15,26,24,11,7,10,25,21,2,16,20,18,1,29,9,28	0,3,0,0,0,0,2,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
 2891.76      48	3,12,14,4,30,5,27,23,8,6,17,24,20,21,10,15,1,2,25,11,18,16,26,19,13,7,28,22,29,9	0,2,0,0,0,0,2,0,1,1,0,0,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0
 2788.43      21	3,30,12,14,4,5,23,8,6,13,19,22,29,7,24,20,18,16,26,28,27,15,10,21,17,2,11,1,25,9	0,2,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
