14	25.32
 4036.91      27	29,18,3,19,4,25,23,10,21,16,7,14,6,1,30,5,26,28,17,12,24,8,11,2,27,15,22,9,13,20	2,0,0,0,2,3,3,1,4,0,4,4,3,3,0,0,2,0,0,0,0,3,0,2,0,3,0,1,0,0
 3626.86       2	29,18,3,4,21,10,19,23,16,25,30,28,26,14,7,15,27,2,11,9,5,17,20,1,22,24,13,6,12,8	2,0,0,0,2,2,1,1,4,0,1,4,2,3,2,0,2,0,0,0,0,3,0,2,1,3,4,0,0,0
 4037.05      28	29,18,3,4,19,25,23,10,21,16,7,14,6,1,11,2,27,15,22,28,26,5,30,8,24,12,17,9,13,20	2,0,0,0,2,2,3,1,4,0,4,3,3,3,2,0,3,0,0,0,0,3,0,0,0,3,4,1,0,0
 3617.23       1	29,18,3,19,4,10,21,23,16,25,14,30,28,26,22,1,20,17,24,2,13,8,15,27,12,7,11,6,9,5	2,0,0,0,2,2,3,1,4,0,1,3,2,2,0,0,0,0,0,0,0,0,0,2,0,3,4,0,0,0
 3986.84      16	29,18,3,23,19,10,21,4,16,17,28,24,30,2,22,25,27,1,15,8,13,20,26,7,14,6,5,9,11,12	2,0,0,0,2,2,3,1,4,0,1,3,2,2,0,0,0,0,0,0,0,2,0,2,0,3,4,0,0,0
 3986.42       6	29,18,3,4,21,10,19,23,16,17,25,15,2,6,11,27,5,14,20,30,1,12,26,7,9,28,24,13,22,8	2,0,0,0,2,2,1,1,4,0,1,4,3,0,2,0,0,0,0,0,0,2,0,0,2,2,4,0,0,0
 4382.25      48	29,18,3,23,19,10,21,4,25,17,22,26,13,30,1,28,14,5,6,11,2,27,15,16,7,9,20,12,24,8	2,0,0,0,2,2,3,1,4,0,3,2,4,4,0,0,0,0,0,1,0,0,0,2,0,3,4,0,0,0
 4381.82      38	29,18,3,4,21,10,19,23,25,17,22,30,11,26,13,16,15,27,2,1,28,14,5,6,8,20,12,24,7,9	2,0,0,0,4,1,3,2,2,0,1,4,4,3,0,0,0,0,0,0,0,3,0,2,0,3,4,0,0,0
 3976.11       5	29,18,3,19,4,10,23,21,16,17,27,15,25,24,28,2,11,9,7,5,20,22,1,26,30,13,12,14,6,8	2,0,0,0,2,3,3,1,4,0,1,3,3,2,2,0,0,0,0,0,0,0,0,2,0,3,4,0,0,0
  3614.7       0	29,19,18,3,4,10,21,23,16,25,14,30,28,26,22,17,5,6,11,9,13,2,15,20,1,12,7,27,24,8	2,0,0,0,2,2,3,1,2,0,4,3,3,3,0,0,0,0,0,0,0,0,0,2,0,3,4,0,0,0
 3973.58       4	29,19,18,3,4,10,23,21,16,17,2,20,27,28,24,25,15,30,1,7,26,12,6,14,22,13,8,5,9,11	2,0,0,0,2,2,1,1,4,0,1,3,3,3,0,0,0,0,0,0,0,0,0,2,0,3,4,0,0,0
 4373.68      34	29,18,3,21,4,25,23,19,10,17,22,26,13,11,20,12,7,2,9,24,16,14,6,1,8,30,5,28,15,27	2,0,0,0,2,2,3,1,4,0,1,4,2,3,2,0,0,0,0,0,0,3,0,2,0,3,4,1,0,0
 4038.29      30	29,18,3,21,4,25,23,19,10,16,17,30,15,24,22,13,8,28,14,6,12,26,7,1,2,20,27,5,9,11	2,0,0,0,2,2,1,1,4,0,1,3,3,2,2,0,0,0,0,0,0,0,0,2,0,3,4,0,0,0
 4031.99      25	29,18,3,19,4,25,10,16,21,23,17,27,20,2,28,24,15,30,1,7,26,12,6,14,22,13,8,5,9,11	2,0,0,0,2,2,1,1,4,0,3,3,1,3,0,0,2,0,0,0,0,0,0,2,0,3,4,0,0,0
