13	27.11
 2689.33       0	24,6,26,8,15,5,20,21,17,9,13,11,1,3,10,22,23,28,14,29,19,16,25,30,18,4,2,27,7,12	3,2,0,0,0,0,4,0,1,0,3,0,1,3,0,1,0,0,0,0,0,3,0,0,0,0,2,1,0,4
 3080.91       3	24,8,6,9,26,21,15,5,20,17,13,11,29,14,16,25,1,27,2,30,22,23,10,3,28,19,18,4,7,12	1,3,1,1,0,0,4,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
 3083.12       9	24,6,26,8,15,9,21,5,20,17,13,11,3,19,28,23,4,7,10,18,22,30,2,27,1,25,16,14,29,12	3,3,0,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4
 3080.91       4	24,6,8,9,15,21,26,5,20,17,13,11,3,19,28,23,4,7,10,18,22,30,2,27,1,25,16,14,29,12	1,2,1,0,0,0,4,0,0,2,0,2,1,3,0,0,0,2,2,0,0,0,0,0,3,0,0,0,0,4
 3242.22      11	24,8,6,9,26,21,15,5,20,16,17,3,30,10,11,27,1,25,14,22,18,7,13,2,29,4,23,28,19,12	3,2,0,1,0,0,4,0,0,2,2,0,1,0,0,0,0,2,2,0,0,3,0,0,0,0,3,0,0,4
 2690.79       1	24,6,26,8,15,5,17,21,20,30,16,11,10,22,28,7,1,14,3,19,25,23,27,18,2,29,9,13,4,12	3,0,0,2,0,0,0,0,2,2,0,3,0,0,0,4,0,0,2,0,0,4,0,0,0,0,0,2,0,4
 2915.16       2	24,8,6,9,26,21,15,3,17,16,20,5,30,10,11,27,1,25,13,2,18,22,28,7,14,19,23,29,4,12	3,3,0,2,0,0,4,0,0,2,0,4,1,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,2,4
 3638.73      26	23,8,6,24,26,9,15,5,20,21,17,30,16,29,12,27,18,2,13,25,19,10,3,1,14,7,28,22,11,4	3,2,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,2,2,4
 3411.54      19	23,8,24,6,26,9,15,21,20,17,5,30,16,11,12,4,29,18,13,25,19,3,1,14,7,28,22,10,27,2	3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
 3260.45      12	23,8,24,6,26,15,5,20,13,17,9,21,11,19,3,28,4,7,10,18,22,30,2,27,1,25,16,14,29,12	1,3,0,2,0,0,4,0,0,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,4
 3284.03      18	23,8,24,6,26,9,15,3,17,20,21,19,25,13,18,5,30,16,11,12,4,29,1,14,22,2,10,27,7,28	3,3,0,0,0,0,4,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,4
 3597.63      25	23,8,24,6,26,9,15,3,21,17,29,18,2,5,20,19,22,16,1,13,27,12,28,7,14,30,11,25,10,4	3,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4
 3414.42      20	23,8,6,24,15,9,26,21,20,17,3,19,25,5,16,30,10,11,27,1,14,2,13,7,18,22,29,4,28,12	1,0,0,2,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,3,0,2,4
