11	2.84	0.77537	0.20405
 3387.29       0	11,28,19,16,8,25,24,22,18,15,2,4,12,17,21,14,27,7,30,9,26,23,20,6,5,29,10,3,1,13	2,1,2,0,4,1,4,0,1,0,0,0,0,3,2,0,4,2,0,1,0,0,1,0,0,0,4,0,0,2
 3705.78      20	11,28,19,16,8,25,24,22,18,15,2,4,12,17,21,14,27,7,30,9,20,26,23,3,13,1,5,10,6,29	1,1,1,0,4,0,4,0,0,0,0,0,0,3,2,0,6,0,0,1,0,0,1,0,0,0,4,0,2,2
 3571.72       5	11,28,19,9,22,7,8,25,24,18,20,2,4,30,15,12,26,16,23,6,5,13,29,10,3,1,21,27,17,14	1,1,0,0,1,1,0,0,0,2,0,2,2,4,0,0,1,2,0,2,0,0,1,0,0,0,0,0,0,0
  3692.2      15	11,28,19,9,22,25,24,4,18,6,15,1,8,2,20,13,3,23,26,30,7,29,21,17,12,27,10,5,16,14	2,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,1,0,1,0,1,1,0,0,4,0
 4215.16      60	11,28,24,9,22,4,30,8,2,19,3,29,15,12,13,21,23,7,26,20,25,16,18,17,10,6,1,5,27,14	2,1,0,0,0,4,4,0,0,6,0,0,0,1,0,0,0,2,0,2,1,0,4,1,2,4,0,0,0,0
  3841.3      25	11,30,4,24,9,22,12,19,13,5,28,8,6,26,15,18,7,16,1,14,25,17,23,3,29,21,20,10,2,27	1,1,0,0,0,0,4,0,0,1,0,0,0,0,2,1,4,2,0,1,2,0,0,0,2,0,4,0,6,0
 4283.52      67	11,28,24,9,22,12,30,15,4,2,19,20,25,18,6,7,26,13,27,5,1,8,23,21,10,14,16,29,17,3	2,1,0,0,1,0,4,0,0,0,0,0,2,1,0,0,1,2,0,2,0,0,4,0,2,3,0,0,0,0
 3688.79      10	11,28,19,16,15,25,24,22,18,20,2,4,12,17,30,9,8,21,14,27,7,13,23,1,29,6,5,10,3,26	2,1,0,0,4,0,4,0,0,0,0,0,0,3,0,0,0,0,0,1,4,1,1,0,0,0,4,0,2,2
 4024.24      27	11,28,19,16,9,25,24,22,18,20,29,4,12,17,21,14,27,7,8,2,6,30,15,23,3,10,26,5,13,1	2,1,0,0,0,4,4,0,0,2,0,0,0,3,2,0,0,0,1,2,0,1,1,0,0,0,4,0,2,2
 4137.22      56	11,28,19,24,9,22,4,30,15,12,10,20,25,1,26,16,7,23,6,5,13,18,29,8,3,2,17,14,27,21	1,1,1,0,4,0,4,0,0,0,0,0,0,3,0,0,4,2,0,1,0,0,1,0,2,3,0,0,2,0
 3651.77       9	30,15,11,19,22,9,24,28,4,16,8,25,6,20,14,13,3,17,26,7,12,1,5,10,21,23,2,29,18,27	2,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0
