10	214.47
  2531.4       0	57,23,75,74,33,14,90,28,32,26,3,69,11,51,71,84,7,83,25,55,12,5,36,77,76,73,10,4,41,16,60,56,58,47,35,34,38,63,78,87,9,27,42,89,24,72,49,64,40,1,15,66,80,88,61,62,48,22,70,8,52,68,44,81,2,59,37,53,30,29,50,67,39,85,13,20,6,54,21,17,86,45,82,18,79,65,31,43,46,19	37,35,5,3,30,42,30,24,18,17,12,12,26,30,39,2,9,52,1,28,39,41,3,5,28,22,2,2,22,4,5,25,1,20,16,3,14,23,2,21,5,42,18,12,8,4,12,26,4,35,34,32,15,29,8,3,2,25,44,8,33,0,41,28,19,25,24,6,41,27,7,17,38,3,8,24,29,7,10,39,39,38,6,38,9,4,51,11,42,17
  3063.2     275	57,56,23,83,86,53,90,80,14,88,49,8,12,51,71,25,7,69,17,78,79,72,87,74,20,1,10,40,41,48,58,47,31,32,35,34,6,2,55,76,5,89,84,77,24,38,19,61,82,63,15,43,18,30,66,4,21,22,70,68,52,45,26,28,59,39,33,67,9,60,50,73,3,62,29,64,44,27,36,85,37,75,46,11,13,65,42,16,81,54	37,35,5,3,30,42,30,24,18,15,12,12,26,30,39,2,9,52,1,28,39,41,3,5,28,22,2,2,22,4,5,25,6,20,16,17,14,23,2,21,5,42,18,12,8,5,12,6,4,35,4,32,15,29,8,3,2,25,44,8,33,0,41,28,19,12,24,6,41,27,7,17,38,3,8,24,29,7,10,39,39,38,6,38,9,4,51,11,42,17
  3080.6     308	57,23,56,83,86,79,81,80,14,88,85,69,12,54,5,32,7,3,17,89,16,44,87,75,20,28,10,42,46,48,19,50,68,47,39,76,34,60,72,9,8,27,31,77,24,38,49,59,35,52,15,43,18,71,61,4,84,22,70,26,63,45,78,51,21,82,30,40,62,55,74,67,64,11,29,25,6,36,41,58,37,1,53,73,13,65,33,66,2,90	37,35,5,3,30,42,27,24,18,17,12,12,26,30,39,2,9,52,1,28,39,41,3,5,28,22,2,2,22,4,5,25,6,20,16,3,14,23,2,21,5,42,18,12,8,4,12,6,4,35,34,32,15,29,8,3,2,25,44,8,33,0,41,28,19,12,24,6,41,27,7,17,38,3,8,24,29,7,10,39,39,38,6,38,9,4,51,11,42,17
 2983.42     238	57,56,23,83,74,53,81,28,14,65,49,89,85,54,71,25,7,69,17,78,5,72,70,77,2,1,10,40,46,16,58,47,68,32,35,39,34,66,55,9,8,27,31,90,24,38,19,59,82,63,15,62,80,88,61,4,6,13,26,37,52,51,44,76,21,41,33,67,30,29,50,73,64,11,75,20,60,84,36,3,87,45,79,18,86,42,22,43,12,48	37,35,5,3,30,42,27,24,18,17,23,12,26,30,39,2,9,52,1,28,39,41,3,5,28,22,2,2,22,4,5,25,6,20,16,17,7,23,2,21,5,42,18,12,8,4,12,6,4,35,4,32,15,29,8,3,2,25,44,8,33,0,41,28,19,12,24,6,41,27,7,17,38,3,8,24,29,7,10,39,39,38,6,38,9,4,51,11,42,17
 3000.82     271	57,23,56,83,74,32,81,28,24,26,3,1,85,51,71,25,80,68,5,52,89,18,36,77,7,59,10,42,46,16,60,47,48,75,39,34,6,2,78,87,8,27,31,90,37,38,19,64,72,63,15,66,73,88,61,62,84,13,70,14,30,45,43,12,21,41,33,40,9,55,50,67,76,11,4,20,44,54,58,69,86,49,53,17,79,35,29,22,82,65	37,35,5,3,30,42,27,24,18,15,23,12,26,30,39,2,9,52,1,28,39,41,3,5,28,22,2,2,22,4,5,25,6,20,16,3,7,23,2,21,5,42,18,12,8,4,12,26,4,35,4,32,15,29,8,3,2,25,44,8,33,0,41,28,19,12,24,6,41,27,7,17,38,3,8,24,29,7,10,39,39,38,6,38,9,4,51,11,42,17
 2967.91      45	57,23,56,86,74,53,90,28,58,88,64,69,85,51,71,25,7,83,22,89,30,18,41,77,76,59,55,4,20,16,68,54,31,47,39,34,38,66,72,9,5,27,84,17,14,8,24,81,40,46,15,43,33,48,65,62,21,13,70,26,52,45,78,12,2,44,11,67,29,60,50,73,3,10,75,82,6,36,42,80,87,49,79,35,1,61,19,63,32,37	37,35,5,3,30,42,27,24,18,17,12,12,26,30,39,2,9,52,1,28,39,41,3,5,28,22,2,2,22,4,5,25,6,20,16,3,14,23,2,21,5,42,18,12,8,4,12,26,4,35,34,32,15,29,8,3,2,25,44,8,33,0,41,28,19,12,24,6,41,27,7,17,38,3,8,24,29,7,10,39,39,38,6,38,9,4,51,11,42,17
 2950.51      12	57,56,23,86,74,43,90,37,19,21,3,89,12,51,71,25,42,50,18,55,5,40,36,77,76,1,10,63,41,16,60,47,68,32,39,34,6,2,78,9,8,27,31,17,24,38,49,81,72,46,15,66,33,48,61,62,84,22,70,26,52,45,44,28,20,82,87,53,30,29,73,67,64,13,75,14,59,54,58,69,83,85,79,4,88,35,11,7,80,65	37,35,5,3,30,42,27,24,18,17,12,12,26,30,39,2,9,52,1,28,39,41,3,5,28,22,2,2,22,4,5,25,6,20,16,3,7,23,2,12,5,42,18,12,8,4,12,6,4,35,34,32,15,29,8,3,2,25,44,8,33,0,41,28,19,12,24,6,41,27,7,17,38,3,8,24,29,7,10,39,39,38,6,38,9,4,51,11,42,17
 2981.94      63	57,23,56,86,49,53,90,16,14,26,82,69,12,42,71,25,79,68,5,78,22,72,13,2,7,28,10,63,46,65,19,47,70,77,35,34,6,66,55,76,8,27,31,89,61,38,24,59,40,73,15,54,33,48,88,62,21,1,58,84,52,45,44,50,20,41,87,67,51,60,74,17,64,85,4,39,83,36,30,80,37,75,11,18,81,32,29,43,9,3	37,35,5,3,30,42,30,24,18,17,23,12,26,30,39,2,9,52,1,28,39,41,3,5,28,22,2,2,22,4,5,25,1,20,16,3,7,23,2,21,5,42,18,12,8,4,12,26,4,35,34,32,15,29,8,3,2,25,44,8,33,0,41,28,19,12,24,6,41,27,7,17,38,3,8,24,29,7,10,39,39,38,6,38,9,4,51,11,42,17
 2964.55      30	57,56,23,86,49,53,90,37,29,88,3,27,12,42,71,9,7,69,26,89,5,18,70,14,20,1,10,63,46,16,60,47,48,75,35,34,6,66,72,76,50,11,31,17,24,8,19,81,82,25,15,54,73,30,61,62,21,22,58,84,52,45,78,28,2,44,87,67,51,55,74,40,64,85,39,36,83,79,41,80,38,4,65,68,13,32,33,43,77,59	37,35,5,3,30,42,27,24,18,17,12,12,26,30,39,2,9,52,1,28,39,41,3,5,28,22,2,2,22,4,5,25,1,20,16,3,7,23,2,21,5,42,18,12,8,4,12,26,4,35,34,32,15,29,8,3,2,25,44,8,33,0,41,28,19,12,24,6,41,27,7,17,38,3,8,24,29,7,10,39,39,38,6,38,9,4,51,11,42,17
 2612.87       4	57,23,75,74,48,14,81,34,29,21,49,69,85,51,5,86,7,50,17,52,79,40,41,71,20,59,10,80,46,16,60,47,68,32,39,43,6,66,78,76,8,11,31,77,37,36,24,64,72,63,15,73,82,30,61,4,84,13,58,27,55,45,26,12,2,44,87,53,70,33,62,67,3,9,89,25,83,54,42,38,18,1,65,35,88,28,19,22,56,90	37,35,5,3,30,42,27,24,18,15,12,12,26,30,39,2,9,52,1,28,39,41,3,5,28,22,2,2,22,4,5,25,6,20,16,3,7,23,2,21,5,42,18,12,8,4,12,6,4,35,34,32,15,29,8,3,2,25,44,8,33,0,41,28,19,12,24,6,41,27,7,17,38,3,8,24,29,7,10,39,39,38,6,38,9,4,51,11,42,17
