12	33.15
 4077.35      14	1,19,8,23,29,15,24,9,18,22,17,6,12,2,3,27,21,14,20,30,13,5,4,28,26,11,25,7,16,10	0,4,0,0,1,1,2,0,0,0,0,1,1,1,0,0,0,1,0,1,3,0,0,0,1,0,3,3,0,2
 4073.52      10	1,19,18,23,29,15,24,9,8,22,17,6,26,13,12,27,2,14,10,30,25,5,4,28,21,7,3,20,11,16	0,4,0,0,1,1,2,0,0,0,0,1,1,1,0,0,0,1,0,1,3,0,0,0,1,0,3,3,0,2
 3728.83       0	1,19,18,15,29,3,24,9,8,22,17,6,2,16,12,27,21,14,20,30,13,5,4,23,26,11,25,7,28,10	0,4,0,0,1,1,2,0,0,0,0,1,1,1,0,0,0,1,0,1,3,0,0,0,1,0,3,3,0,2
 4079.88      20	1,19,18,15,29,24,23,9,8,22,17,6,26,16,2,27,21,14,20,30,25,5,4,28,13,7,12,3,11,10	0,4,0,0,1,1,2,0,0,0,0,1,1,1,0,0,0,1,0,1,3,0,0,0,1,0,3,3,0,2
 3862.03       4	1,19,8,11,29,15,24,9,18,22,17,6,2,13,12,25,21,14,20,30,23,5,4,28,26,7,3,10,16,27	0,4,0,0,1,1,2,0,0,0,0,1,1,1,0,0,0,1,0,1,3,0,0,0,1,0,3,3,0,2
 4146.99      24	1,19,8,11,29,15,23,9,18,22,17,6,2,16,12,27,3,14,20,30,25,5,4,28,26,7,13,10,21,24	0,4,0,0,1,1,2,0,0,0,0,1,1,1,0,0,0,1,0,1,3,0,0,0,1,0,3,3,0,2
 4297.89      27	1,19,18,23,29,15,24,9,8,22,10,17,2,13,12,27,21,14,20,30,25,5,4,28,26,7,3,16,11,6	0,4,0,0,1,1,2,0,0,0,0,1,1,1,0,0,0,1,0,1,3,0,0,0,1,0,3,3,0,2
  4425.6      41	1,19,8,11,29,15,23,9,18,22,10,17,2,16,12,27,21,14,20,30,13,5,4,28,26,7,3,24,6,25	0,4,0,0,1,1,2,0,0,0,0,1,1,1,0,0,0,1,0,1,3,0,0,0,1,0,3,3,0,2
 4301.73      31	1,19,8,23,29,15,24,9,18,22,10,17,28,16,12,27,21,14,20,30,25,5,4,7,26,2,3,13,6,11	0,4,0,0,1,1,2,0,0,0,0,1,1,1,0,0,0,1,0,1,3,0,0,0,1,0,3,3,0,2
 4140.63      21	1,19,8,11,29,15,24,9,18,22,10,17,2,16,12,25,21,14,20,30,13,5,4,28,26,7,3,27,6,23	0,4,0,0,1,1,2,0,0,0,0,1,1,1,0,0,0,1,0,1,3,0,0,0,1,0,3,3,0,2
 4304.25      37	1,19,18,15,29,24,23,9,8,22,10,17,2,16,12,27,21,14,20,30,13,5,4,28,26,7,3,11,6,25	0,4,0,0,1,1,2,0,0,0,0,1,1,1,0,0,0,1,0,1,3,0,0,0,1,0,3,3,0,2
  4506.1      65	1,19,18,15,29,24,11,9,8,23,10,17,2,13,12,27,21,14,20,30,25,5,4,28,26,7,3,16,6,22	0,4,0,0,1,1,2,0,0,0,0,1,1,1,0,0,0,1,0,1,3,0,0,0,1,0,3,3,0,2
