14	2.52
 1796.64      10	29,26,4,25,19,18,7,8,22,12,11,16,1,2,14,30,6,20,10,21,24,23,9,13,28,3,15,5,17,27	0,2,0,0,1,0,0,1,0,0,0,0,2,3,0,2,2,0,0,1,0,0,1,1,0,0,1,0,0,0
 2249.49      35	29,26,4,25,2,19,14,30,6,20,28,9,16,11,3,22,12,13,18,17,5,21,10,23,24,1,8,15,7,27	0,0,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
  2142.1      19	4,25,26,2,19,29,18,9,13,12,30,14,10,20,16,23,7,8,22,6,15,28,1,21,17,11,24,3,5,27	0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,4,2,0,0,0,0,0,3,3,0,0,0,0,0,0
 2142.79      26	29,26,25,4,2,19,18,21,10,12,22,3,11,16,9,28,20,6,30,14,13,23,7,8,15,17,1,24,5,27	0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,4,1,0,0,0,1,0,3,3,0,0,0,1,0,0
 2147.06      29	4,29,25,2,26,19,18,9,13,12,30,14,10,21,17,28,15,6,22,8,24,11,1,3,5,7,23,16,20,27	0,0,1,0,1,0,3,4,0,0,0,0,1,0,1,4,0,0,0,0,0,0,1,1,0,0,0,1,0,0
 2481.17      53	29,26,25,4,2,19,20,6,30,14,28,9,16,11,3,22,12,10,21,5,17,18,13,23,24,1,8,15,7,27	0,0,0,0,0,1,0,0,1,0,0,1,1,2,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
 1572.82       8	4,29,25,2,14,30,10,21,17,28,15,6,22,8,24,11,1,3,5,16,23,20,12,13,9,18,19,26,7,27	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,2,0,0,1,1,0,0
 1447.57       0	4,29,5,24,17,18,13,15,10,21,8,3,20,28,9,16,7,23,22,12,1,11,6,30,14,19,2,25,26,27	0,0,0,0,0,1,2,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0
 2414.38      44	29,26,4,25,2,19,18,14,30,6,9,20,28,7,8,15,10,17,22,12,13,23,16,21,1,11,24,3,5,27	3,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,3,0,0,0,1,0,0
 1557.03       6	4,29,25,10,6,30,14,2,26,19,18,9,13,12,15,28,17,21,22,8,24,11,1,3,5,7,23,16,20,27	0,2,1,0,1,0,3,1,0,0,0,0,1,1,1,4,0,0,0,0,0,2,2,0,0,0,0,1,0,0
 2413.69      37	4,25,26,2,19,29,14,18,7,8,10,21,24,1,16,11,12,22,20,6,30,23,9,13,15,17,5,3,28,27	0,0,0,0,1,0,0,1,3,0,1,0,0,0,0,1,2,0,0,0,0,1,3,0,0,0,0,0,0,0
 2418.64      47	4,29,25,2,26,19,14,18,7,8,10,21,24,30,6,20,22,12,11,16,1,23,9,13,15,17,5,3,28,27	0,0,1,0,1,4,3,4,0,0,1,0,1,0,1,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0
 2034.05      15	4,29,25,10,6,16,13,30,28,9,8,7,23,24,21,3,15,5,17,1,14,18,19,2,26,12,20,22,11,27	0,0,0,0,1,0,0,1,1,0,0,0,4,1,0,0,0,3,0,1,0,1,0,0,0,4,2,0,0,0
 2248.35      34	29,26,4,25,14,19,2,30,6,20,28,9,16,11,3,22,24,18,1,23,10,5,17,21,12,13,8,7,15,27	0,0,0,0,0,0,0,3,4,0,0,0,1,0,2,0,0,1,0,0,1,0,0,3,0,0,1,1,0,0
