25	79.52
 4504.05      17	3,60,43,36,47,55,54,18,58,32,4,50,35,48,16,28,20,1,27,39,8,45,10,37,2,7,49,56,51,34,57,25,40,42,13,59,26,30,9,17,5,14,6,11,21,52,24,46,53,12,15,41,33,19,23,31,22,44,29,38	24,14,0,0,18,0,26,11,3,0,5,0,4,15,15,15,4,0,14,26,5,20,5,9,5,5,11,18,4,14,1,0,0,4,14,0,14,1,1,3,6,1,0,7,3,1,0,2,3,0,11,2,3,0,0,3,0,0,4,0
 4502.16      14	3,60,43,36,47,55,54,58,18,32,4,50,35,48,16,28,12,11,6,39,2,37,17,7,8,40,25,57,41,15,21,52,24,5,14,1,27,46,53,42,13,59,33,51,34,56,45,9,30,31,23,19,20,26,22,44,49,29,10,38	24,14,0,0,18,4,15,15,3,0,15,18,3,11,26,0,0,0,14,26,5,20,11,9,5,1,11,18,4,14,12,0,1,4,14,0,14,14,1,3,6,1,0,7,3,1,0,2,11,0,11,2,3,0,0,3,0,0,4,0
 4496.26       3	3,60,43,36,47,55,32,58,18,54,4,50,35,48,16,28,20,1,27,39,8,45,10,37,2,7,49,56,51,34,57,25,40,42,13,59,26,30,9,17,5,14,6,11,21,52,24,46,53,12,15,41,33,19,23,31,22,44,29,38	24,14,0,0,18,4,15,11,3,0,15,0,4,11,14,4,1,0,12,14,4,18,11,1,5,9,5,4,5,26,14,0,4,15,26,0,14,1,1,3,6,1,0,7,3,1,0,2,3,0,11,2,3,0,0,3,0,0,4,0
 3529.65       0	3,60,43,4,32,54,18,58,55,47,36,50,35,48,16,28,12,15,41,57,25,40,8,7,33,14,30,26,21,11,23,20,46,53,9,45,56,44,51,5,17,24,37,1,27,10,6,39,2,42,13,59,34,49,52,19,31,29,22,38	24,14,0,0,18,14,15,1,15,15,0,0,11,11,15,0,4,0,11,26,5,4,5,6,5,5,3,18,4,14,1,0,0,4,14,0,14,14,1,3,14,1,0,7,3,1,0,1,6,0,3,2,3,0,0,3,0,0,4,0
  4958.7      91	3,60,43,12,54,55,47,36,32,18,58,4,59,33,8,35,34,49,28,11,6,39,2,37,45,10,20,30,1,27,50,48,16,9,56,17,24,5,7,14,57,46,53,15,41,25,40,42,13,26,29,44,22,31,23,19,21,52,51,38	24,14,0,0,18,4,18,15,15,0,0,0,11,11,26,0,4,0,11,26,5,20,5,9,5,5,11,18,4,14,12,0,0,4,4,0,14,1,1,3,14,1,0,7,3,1,0,2,6,1,18,3,3,0,0,3,0,0,4,0
 4903.11      29	3,60,43,12,36,18,47,58,55,54,32,4,56,25,40,42,13,59,41,15,6,52,5,19,49,2,37,10,45,8,39,27,1,28,16,48,35,50,53,46,20,23,11,21,26,30,14,7,57,24,44,17,33,9,51,34,31,22,29,38	24,14,0,0,18,14,18,15,15,0,15,0,11,11,15,0,4,0,26,26,5,4,5,6,5,5,11,18,5,14,11,0,1,4,14,0,14,1,1,3,6,1,0,7,3,1,0,1,6,0,18,2,3,0,0,3,0,0,4,0
 4957.18      76	3,60,43,12,32,36,47,55,54,18,58,4,41,57,25,40,7,14,30,26,21,11,23,20,46,53,9,45,50,34,35,8,33,59,15,28,16,48,56,44,51,5,13,42,27,1,24,17,37,29,49,10,22,31,19,6,39,52,2,38	24,14,0,0,24,4,18,15,3,0,0,0,11,11,15,15,4,0,11,26,5,20,5,6,5,1,3,18,4,14,11,0,0,4,14,0,14,14,1,3,14,1,0,7,3,1,0,2,6,13,3,3,9,0,0,3,0,0,4,0
 4901.92      28	3,60,43,12,36,47,18,58,55,54,32,4,56,25,40,42,13,59,41,15,35,48,16,28,1,27,39,8,45,10,37,2,49,19,5,52,6,50,53,46,20,23,11,21,26,30,14,7,57,24,44,17,33,9,51,34,31,22,29,38	24,14,0,0,18,4,15,15,3,0,15,0,11,11,15,0,4,0,26,26,5,20,5,6,5,5,11,18,3,14,12,0,1,4,14,0,14,1,1,3,14,3,0,7,3,1,0,2,6,13,18,3,9,0,0,3,0,0,4,0
 4899.62      27	12,43,60,3,36,47,18,58,55,54,32,4,56,25,40,42,13,59,41,15,35,48,16,28,1,27,39,8,45,10,37,2,49,19,5,33,17,44,24,57,7,14,30,26,21,11,23,20,46,53,50,6,52,9,51,34,31,22,29,38	24,14,0,0,18,4,18,15,15,0,5,0,11,11,26,0,4,0,11,26,5,20,5,6,5,5,9,18,3,14,11,0,1,4,14,0,12,1,1,3,14,3,0,7,3,1,0,2,6,13,18,3,9,0,0,3,0,0,4,0
 4945.76      61	3,60,43,12,32,36,47,18,55,58,54,4,45,28,13,42,34,19,31,33,8,35,30,40,25,57,41,15,16,48,17,5,7,21,11,20,46,53,9,56,44,22,59,14,26,51,23,50,6,24,10,29,37,2,52,39,1,27,49,38	24,14,0,0,24,4,18,15,3,0,0,0,11,11,15,0,4,0,11,26,11,20,11,9,5,1,5,18,4,14,5,0,0,4,26,0,14,14,1,3,14,1,0,7,3,1,0,2,6,1,3,3,9,0,0,3,0,0,4,0
