18	27.42
 4498.71      38	25,21,11,4,14,26,28,7,13,20,22,12,15,2,3,24,6,5,30,10,1,18,19,29,8,16,23,9,17,27	0,1,2,0,0,1,0,0,2,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 4252.52      23	25,21,11,4,14,26,28,13,7,20,2,12,5,16,23,8,24,10,22,19,17,27,3,30,6,1,29,15,18,9	0,1,0,0,0,0,0,2,1,2,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 4617.12      58	25,21,11,4,14,26,28,7,13,20,22,17,15,2,3,29,8,16,10,30,5,6,24,19,18,1,23,9,12,27	0,1,2,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 3871.72       4	25,21,13,4,14,15,7,20,11,26,28,19,18,1,2,27,12,9,29,8,23,16,5,17,6,24,10,22,3,30	0,1,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
 3958.93       5	25,21,13,4,14,26,11,20,7,15,17,6,18,12,27,28,16,1,3,23,29,30,19,24,5,2,22,9,10,8	0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
 4491.52      30	25,21,13,4,14,26,11,28,7,20,22,17,15,2,19,24,6,5,29,8,16,10,30,3,18,1,27,12,9,23	0,1,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 4498.53      36	25,11,13,4,14,26,21,28,7,20,22,17,15,2,19,24,6,5,29,8,16,10,30,3,18,1,27,12,9,23	0,1,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
  3848.7       1	25,21,13,4,14,26,11,28,20,2,15,17,22,7,19,12,6,5,29,8,16,10,30,3,18,1,27,24,9,23	0,1,2,0,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 4252.34      21	25,11,13,4,14,26,21,28,7,20,10,24,8,23,16,5,12,2,17,22,19,27,3,30,6,1,29,15,18,9	0,1,2,0,0,0,0,2,2,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1
 4609.93      50	25,21,13,4,14,26,11,7,28,20,22,17,15,2,19,12,6,5,29,8,16,10,30,3,18,1,27,24,9,23	0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 4245.33      15	25,21,13,4,14,26,11,28,7,20,18,1,2,15,27,12,3,22,6,17,9,29,19,8,23,16,5,30,10,24	0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
 4158.12      14	25,21,13,4,14,15,11,7,28,20,26,5,6,12,2,3,24,16,22,23,9,17,19,8,10,27,30,1,29,18	0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 3807.03       0	25,21,13,4,14,7,28,20,11,15,6,5,26,12,2,3,24,16,22,23,9,29,18,1,27,19,8,17,10,30	0,2,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1
  4012.0      10	25,21,13,4,14,7,28,20,11,8,6,5,26,10,22,23,9,17,19,15,29,30,18,16,24,3,2,12,1,27	0,2,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 4053.67      11	25,21,13,4,14,26,11,28,20,8,15,17,3,30,10,16,2,29,5,6,12,19,7,22,18,1,24,23,9,27	0,1,2,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
 4500.14      40	25,21,11,4,13,26,28,7,14,20,22,12,15,2,3,24,6,5,1,10,30,23,16,19,8,27,17,18,29,9	0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1
 4454.38      24	25,21,13,4,14,15,11,7,28,20,8,6,5,26,10,22,17,2,1,18,3,30,16,29,24,19,27,12,9,23	0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 4557.31      49	25,21,13,4,14,15,11,7,28,20,17,22,16,24,3,2,12,6,5,26,29,8,10,30,19,18,1,23,9,27	0,1,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
