15	26.38
 3317.63       9	3,28,18,11,12,4,30,8,17,6,24,22,26,13,10,27,25,15,2,16,5,7,21,20,14,19,9,1,29,23	1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0
  3666.6      28	28,3,18,24,4,11,19,30,12,6,7,14,17,15,25,21,5,13,26,27,2,20,8,10,16,23,9,22,1,29	1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,3,0,4,3,0,0,1,3,0,0,0
 3062.99       0	3,28,18,11,12,4,6,17,8,14,23,22,21,20,30,27,10,13,26,7,5,24,19,1,16,9,29,25,15,2	1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,3,0,0,0
 3171.18       6	3,28,18,11,12,4,30,8,6,17,23,22,26,13,10,24,27,25,15,2,16,5,7,21,20,14,19,9,1,29	1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0
 3670.74      29	28,3,18,11,4,24,19,30,12,6,7,14,1,22,9,23,16,27,2,20,8,10,26,13,5,21,25,15,17,29	1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,1,0,0,4,0,3,0,0,0
 3565.11      15	3,28,21,24,4,11,15,6,12,5,23,27,26,7,19,17,18,20,16,30,22,13,14,2,25,10,8,9,29,1	1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,1,1,3,0,4,0
 3567.22      19	3,28,21,24,4,11,12,6,15,18,14,30,5,8,17,22,23,1,13,7,29,19,16,25,26,10,20,2,27,9	1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,1,0,0,0
 3425.19      14	3,28,18,11,12,14,4,6,15,8,23,25,29,13,21,16,10,22,9,20,27,1,30,5,7,26,19,24,17,2	1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,4,0,0,0,0,1,1,3,0,0,0
 3903.85      34	3,28,21,24,4,11,14,6,15,12,5,23,27,26,7,19,8,20,18,17,13,30,2,10,25,16,9,22,1,29	1,1,0,0,0,0,4,0,4,0,0,0,4,0,0,3,0,0,4,0,0,0,0,0,0,1,1,0,0,0
 3779.15      30	3,28,21,24,4,11,14,17,12,6,23,2,18,5,8,10,25,30,22,13,15,20,26,27,16,7,19,9,1,29	1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,1,3,0,1,0
 3146.26       3	3,28,18,11,12,4,7,8,6,21,20,2,27,30,5,19,1,23,17,14,24,10,13,26,22,16,9,29,15,25	1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,4,0,0,0,1,0,0,0,0
 3340.05      12	3,28,18,11,12,30,15,6,4,8,23,24,5,17,27,21,14,13,1,16,2,10,20,19,7,26,25,9,22,29	1,1,0,0,0,0,0,0,4,0,0,0,4,0,0,1,1,0,0,1,0,0,4,0,0,1,1,0,0,0
 3658.59      23	3,28,18,11,12,14,4,30,8,17,6,16,2,15,25,27,10,13,26,22,24,5,7,21,20,19,9,1,29,23	1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,1,0,1,1,1,0,0,0
 4055.35      57	28,3,18,11,26,24,4,14,6,15,12,5,23,7,20,27,19,8,21,17,13,30,2,10,25,16,9,22,1,29	1,1,0,0,4,0,4,0,0,0,0,0,0,0,0,3,1,0,0,3,0,0,0,0,0,0,3,0,1,0
 4051.21      56	28,3,18,24,26,11,4,14,6,15,12,5,23,7,30,13,17,21,8,20,27,19,2,10,25,16,9,22,1,29	1,1,0,0,4,0,4,0,4,0,0,0,4,0,0,3,1,0,4,1,0,0,0,0,0,0,0,0,1,0
