12	27.08
 4665.64       0	24,29,18,12,20,16,7,22,14,2,25,28,15,4,19,5,1,11,27,8,10,21,3,30,26,9,23,13,17,6	2,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0
 4665.87       1	24,29,18,12,20,16,22,7,14,2,25,28,15,4,30,17,13,23,26,19,5,1,11,27,8,10,21,3,9,6	2,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
 4926.55      10	24,29,20,16,13,18,12,7,15,22,14,28,8,21,30,2,3,4,25,6,27,11,5,19,10,17,26,1,23,9	2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
 4920.88       8	24,29,18,13,16,20,12,7,15,22,14,28,8,21,30,2,3,4,25,6,27,11,5,19,10,17,26,1,23,9	2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
 4677.56       3	24,29,18,16,20,8,22,7,12,14,15,28,25,4,30,3,6,13,10,11,19,27,2,17,5,1,21,26,9,23	2,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
 4915.28       7	24,29,18,13,7,20,12,16,15,22,14,28,8,21,30,2,3,4,25,23,27,11,26,17,10,19,5,1,9,6	2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,2,0,0,0
 4679.62       4	24,29,18,16,20,12,7,22,8,14,15,28,25,4,30,3,6,19,11,10,13,27,2,17,5,1,21,26,9,23	2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0
  4921.6       9	24,29,18,13,16,20,12,22,15,7,14,28,8,21,30,25,4,3,2,6,1,26,17,10,19,5,11,27,23,9	2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0
 4679.85       5	24,29,18,16,20,12,22,7,8,14,15,28,25,4,30,3,10,13,6,11,19,21,1,5,23,26,2,27,17,9	2,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
 4676.61       2	24,29,18,12,7,16,8,20,22,14,15,28,25,13,21,10,11,5,2,19,27,9,23,30,4,3,6,1,26,17	2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
 4927.82      11	24,29,20,16,13,18,12,22,15,7,14,28,8,27,17,4,25,30,21,11,19,2,10,1,5,3,9,26,23,6	2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0
 5029.89      23	24,29,18,12,20,13,16,9,14,8,22,15,7,28,21,30,6,2,3,4,25,1,26,17,10,19,5,11,27,23	2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,2,0,0,0
