15	26.66
 4586.42       9	25,12,17,1,11,19,5,23,14,27,16,9,21,28,2,7,22,15,24,29,3,8,26,10,4,30,20,18,6,13	0,3,1,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3
 4631.93      15	25,12,17,1,11,19,5,23,28,27,16,9,21,8,4,10,26,13,2,7,22,15,24,29,3,30,20,18,14,6	0,2,1,2,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
  4799.0      23	25,12,17,23,13,19,5,1,11,27,16,9,21,8,3,28,7,20,24,2,29,18,15,14,4,26,22,10,30,6	0,3,3,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,3
  5044.3      47	25,12,17,23,29,11,27,5,16,19,9,13,21,8,3,28,22,14,1,24,30,4,15,18,6,10,26,7,2,20	0,3,1,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3
 4797.77      19	25,11,17,23,13,19,5,12,1,27,16,9,21,8,3,20,7,28,24,18,29,2,15,4,10,26,22,30,6,14	0,2,1,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
 4802.34      24	25,12,17,23,13,27,5,19,11,1,16,9,21,8,15,2,28,3,7,20,24,18,29,26,4,14,22,10,30,6	0,3,3,3,0,2,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
 4846.78      32	25,12,17,23,29,11,27,5,16,24,9,13,21,8,3,2,1,22,28,4,26,30,6,18,19,14,7,15,10,20	0,0,1,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,3
 4794.42      18	25,11,17,23,13,19,5,1,12,27,16,9,21,8,3,28,7,20,26,4,14,15,18,29,2,24,22,10,30,6	0,3,3,2,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,3
 4806.82      27	25,12,17,23,5,19,13,27,1,11,16,9,21,8,3,28,7,20,24,18,29,26,4,14,15,2,22,10,30,6	0,3,3,2,0,2,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
 4544.98       8	25,12,17,23,27,29,5,9,16,11,24,26,21,13,8,3,2,1,22,28,4,30,6,18,19,20,7,15,10,14	0,0,1,2,0,0,3,2,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,0,0,0,0,0,0,3
 4849.77      40	25,12,17,23,27,29,5,9,16,11,24,13,21,8,3,2,1,22,28,4,26,30,6,18,7,14,19,15,10,20	0,0,1,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,3
 4543.86       0	25,12,17,23,29,11,27,5,16,24,9,26,21,20,19,18,6,30,4,28,22,1,2,3,8,13,7,15,10,14	0,3,1,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,3
 5041.89      42	25,12,17,23,29,11,19,5,16,27,9,13,21,8,3,28,22,14,1,24,15,30,4,10,26,7,2,20,18,6	0,3,1,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,3
 5042.57      45	25,12,17,23,29,11,19,5,9,27,16,13,21,1,30,7,3,28,2,15,8,24,18,26,4,14,22,10,20,6	0,3,1,2,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
 5045.76      54	25,12,17,23,29,11,27,19,5,9,16,13,21,1,4,15,2,28,3,7,30,26,18,24,8,14,22,10,20,6	0,3,1,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
