13	35.51
 3841.38      60	22,21,19,18,26,11,8,2,13,15,25,17,14,23,5,29,12,9,30,24,10,20,16,1,4,3,7,27,6,28	0,0,3,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
 3414.12      19	19,21,22,18,26,11,4,25,2,17,3,13,23,16,20,30,8,15,9,29,5,14,7,1,6,27,28,24,12,10	0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0
 3390.26      16	19,21,22,18,26,11,24,25,2,17,3,13,23,16,15,12,29,5,8,4,1,7,14,9,28,27,6,20,30,10	0,0,0,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
 3778.48      44	19,21,22,18,26,11,8,25,2,17,3,15,16,23,13,12,29,5,14,7,1,4,24,9,28,27,6,20,30,10	0,0,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
 3436.42      21	19,21,22,18,26,14,25,11,2,17,3,13,30,16,8,15,12,29,4,1,9,28,24,20,5,10,27,6,23,7	0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,2,0
  3617.1      35	19,21,22,18,26,11,4,25,2,17,3,15,23,13,12,29,5,14,1,9,28,27,6,20,7,24,8,30,10,16	0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
 3777.33      36	19,21,22,18,26,11,8,25,2,15,3,17,16,23,14,1,4,29,12,30,9,28,24,10,5,20,13,27,6,7	0,0,0,0,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
 3843.26      65	22,21,11,26,18,19,8,2,13,15,25,17,14,24,30,9,12,29,5,23,10,20,16,1,4,3,27,28,7,6	0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
 3331.85      12	19,21,22,18,26,11,8,24,2,17,3,15,16,23,14,1,4,25,13,29,9,30,20,12,5,7,6,27,28,10	0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
 3241.93       3	19,21,22,18,26,4,15,11,2,17,3,7,1,9,28,24,20,5,29,12,25,8,16,30,13,14,6,27,10,23	0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,2,0
 3592.09      24	19,21,26,18,22,11,24,25,2,15,3,17,16,23,1,7,14,9,30,8,4,13,12,29,5,10,20,28,6,27	0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
 3218.07       0	19,21,22,18,26,11,15,24,2,17,3,8,5,14,1,4,16,29,12,13,23,25,9,28,27,6,20,7,30,10	0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
 3615.94      27	19,21,22,18,26,11,4,25,2,15,3,17,23,13,12,29,5,14,1,9,28,27,6,20,7,24,8,30,10,16	0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0
