12	24.51
 3891.01       9	7,23,10,14,22,18,9,15,3,4,26,21,12,24,1,11,28,20,5,27,30,29,17,2,16,8,13,25,19,6	2,0,0,0,0,0,0,2,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1
 3888.01       6	22,23,7,10,14,18,9,15,3,4,26,21,12,24,1,11,28,20,5,29,30,27,17,2,16,8,13,25,19,6	2,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,4,0,1,1,1
 4087.37      19	22,23,7,10,14,12,18,9,15,3,4,16,2,11,28,20,5,27,30,29,17,1,24,21,26,8,13,25,19,6	2,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1
 3392.09       3	7,23,19,14,22,18,9,15,3,4,26,21,12,16,17,29,28,30,24,1,27,13,10,5,20,2,11,8,25,6	2,0,0,0,0,0,0,2,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1
 3389.08       0	23,22,7,19,14,18,9,15,3,4,26,8,20,24,25,1,11,5,2,10,28,29,17,16,12,21,30,27,6,13	2,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,1,0,0,3,0,0,0,0,1,4,0,0,0,1
 4090.38      22	7,23,10,14,22,18,12,9,15,3,4,16,2,11,28,20,5,27,30,19,21,17,29,26,24,1,8,25,13,6	2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
 4119.07      39	7,23,10,14,22,18,21,9,15,3,4,16,2,11,28,20,5,1,24,26,29,17,12,19,27,30,8,13,25,6	2,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1
  3577.9       4	22,23,7,16,14,19,9,15,3,4,26,21,12,24,13,8,2,17,29,30,27,5,20,28,25,18,10,11,1,6	2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,4,0,1,1,1
 4093.11      25	7,23,10,14,22,18,15,9,12,3,4,16,2,11,28,20,5,27,30,19,21,17,29,26,24,13,8,25,1,6	2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1
 4116.06      36	22,23,7,10,14,18,21,9,15,3,4,26,2,11,28,20,19,27,16,24,12,29,5,1,30,8,17,25,13,6	2,0,0,0,2,1,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0
 4082.62      11	22,23,9,10,14,12,18,7,15,3,4,1,21,26,8,27,5,20,28,11,2,16,24,25,19,6,30,29,17,13	2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,3,0,0,0,1,1,1
 4121.29      49	7,23,10,14,22,18,15,21,9,3,4,16,2,11,28,20,5,1,24,26,29,17,12,19,27,30,8,25,13,6	2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1
