14	26.91
 3558.56       4	18,23,6,14,8,26,15,3,4,17,1,20,9,21,5,25,19,30,11,10,27,22,7,24,13,12,2,29,16,28	0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
  4317.5      21	6,23,18,14,24,26,8,3,15,4,17,19,5,21,27,13,1,22,9,30,7,20,25,16,2,11,12,10,29,28	0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
 4321.18      24	6,23,18,14,24,3,8,26,15,4,17,19,5,21,29,10,11,9,2,7,1,30,20,25,16,22,27,13,12,28	0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3
 3108.35       0	18,23,6,9,8,26,15,3,4,17,2,16,25,20,19,5,21,27,24,13,7,30,14,22,12,11,1,10,29,28	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
 3806.34       6	18,23,6,14,8,26,21,3,15,4,17,19,5,24,29,10,11,7,13,22,1,25,20,9,2,16,30,12,27,28	0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3
 3445.93       2	18,23,6,9,8,26,21,3,15,4,17,14,24,1,10,25,27,16,7,29,22,19,5,30,11,2,20,13,12,28	0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
 3861.67      13	6,23,18,14,9,26,8,3,15,4,17,2,16,25,20,19,5,21,30,11,13,7,22,1,24,10,27,12,28,29	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  4520.5      57	6,23,18,14,24,26,8,3,15,9,16,17,4,19,5,21,29,2,30,11,27,10,1,25,20,7,13,22,12,28	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 4524.18      60	6,23,18,14,24,3,8,26,15,9,17,16,4,19,5,21,29,10,30,20,25,11,13,7,1,22,2,27,12,28	0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 4024.02      14	6,23,18,14,24,26,21,3,15,4,17,19,5,8,29,10,11,7,13,20,25,16,2,9,22,1,30,27,12,28	0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
 4440.33      40	6,23,18,14,24,26,8,3,15,21,17,16,2,9,29,4,5,19,25,20,27,22,30,7,13,10,12,11,1,28	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
  4026.9      17	6,23,18,14,24,3,21,26,15,4,17,19,5,8,29,10,11,7,12,22,1,16,2,9,20,25,30,13,27,28	0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
 3810.02       9	6,23,18,14,8,3,21,26,15,4,17,19,25,20,9,30,7,11,10,29,24,5,2,16,1,22,12,13,27,28	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 4444.02      43	6,23,18,14,24,3,8,26,15,21,17,16,2,9,29,4,5,13,7,30,22,27,20,25,19,10,12,11,1,28	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3
