10	3.33	0.70581	0.23603
 1955.76      47	4,27,20,2,26,24,29,16,19,13,10,1,15,18,21,25,5,8,17,3,6,22,9,23,14,7,28,12,11,30	0,0,0,0,1,1,1,1,0,0,0,3,1,0,1,2,0,0,0,0,1,1,3,0,1,0,0,2,0,0
 1855.21      35	4,27,20,2,19,24,18,29,16,14,8,25,10,23,17,26,9,3,6,22,7,5,13,11,28,1,15,30,21,12	0,0,1,0,2,0,1,1,1,0,1,0,0,1,2,3,0,0,0,0,0,1,2,0,1,0,0,2,0,1
 1461.58       8	4,24,18,2,29,17,15,26,25,19,20,8,12,13,23,1,10,5,28,22,11,27,16,7,14,21,9,30,6,3	0,0,0,0,0,2,1,1,2,1,0,0,0,0,0,2,0,0,1,2,3,0,1,0,3,0,0,2,0,0
  1388.1       0	4,24,9,17,29,5,12,28,11,26,3,23,27,18,1,6,22,21,19,8,10,15,2,25,20,16,7,14,13,30	0,0,0,0,1,1,1,1,0,1,0,3,1,1,1,2,0,0,0,0,1,0,3,0,1,0,1,2,0,0
  1914.8      36	4,27,20,2,24,18,29,14,19,15,26,25,8,17,12,13,23,1,22,5,28,6,11,30,16,10,9,3,7,21	0,0,1,0,0,0,1,1,1,0,1,3,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,2,0,0
 1663.85      10	2,4,24,26,17,29,5,28,25,20,9,16,15,8,27,19,13,10,1,11,23,18,12,14,30,21,3,6,7,22	0,0,0,0,0,2,0,0,0,0,1,0,1,2,0,1,0,0,0,0,1,1,0,0,1,0,2,2,0,0
 2290.73      74	4,24,2,29,19,5,26,20,11,9,16,23,27,1,28,17,18,14,8,25,3,6,22,7,10,13,15,30,21,12	0,0,0,0,0,2,1,0,1,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
 1805.57      25	4,27,24,20,2,19,29,25,17,12,18,13,26,23,5,1,22,15,28,6,16,10,21,8,14,9,3,7,11,30	0,0,1,0,0,0,1,1,0,2,1,1,0,0,0,3,0,1,0,0,0,0,0,0,1,1,0,1,0,0
 2184.77      64	4,27,24,29,20,2,26,19,7,12,21,30,9,17,23,28,11,16,5,1,25,18,13,6,22,8,15,10,14,3	0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,3,0,0,0,1,0,1,0,1,0,0,1,0,0
 1698.72      17	4,24,20,2,19,29,3,26,10,8,13,27,6,16,22,5,18,17,28,25,15,1,23,12,11,9,30,7,21,14	0,0,0,0,0,0,1,0,0,3,1,0,0,0,1,0,1,1,1,0,1,2,0,0,1,1,0,1,0,2
